#{"t_start": 1637959101.1178849, "env_id": "NewHriEnv-v1"}
r,l,t
-91185.313926,200,2840.460588
-86063.041346,200,2851.446793
-93350.145702,200,2862.426801
-43637.324352,200,2873.422754
-98688.915122,200,2884.526527
-56001.975161,200,2895.582376
-71021.852523,200,2906.547942
-53326.966408,200,2917.576244
-39424.678977,200,2928.560408
-67288.617255,200,2939.550226
-47166.41853,200,2950.524446
-73503.323916,200,2961.510182
-79059.302067,200,2972.540312
-44040.352258,200,2983.527025
-76224.930097,200,2994.521066
-111154.169448,200,3005.514201
-36121.697267,200,3016.545838
-91866.922657,200,3027.619932
-35182.854649,200,3038.687413
-37732.337483,200,3049.694114
-91466.307234,200,3060.747035
-69267.010084,200,3071.74647
-48605.133038,200,3082.767313
-39103.770189,200,3093.886872
-67261.919175,200,3104.926345
-41058.476195,200,3115.928178
-69345.136352,200,3126.917388
-49612.477147,200,3137.899915
-42157.11439,200,3148.880096
-46767.829999,200,3159.87115
-37016.931527,200,3170.910193
-40335.263607,200,3182.017919
-32322.226083,200,3193.026314
-28538.985747,200,3204.066713
-32824.269554,200,3215.072076
-31275.408498,200,3226.056484
-32037.760385,200,3237.0401
-25625.81685,200,3248.031502
-26441.386567,200,3259.007167
-23898.391279,200,3269.985371
-26112.529352,200,3280.960418
-23079.871022,200,3291.943236
-21653.245626,200,3302.915333
-21847.957178,200,3313.975788
-22986.302534,200,3325.003211
-23026.448355,200,3335.989985
-38488.512243,200,3347.025189
-31687.117408,200,3358.005878
-35277.744282,200,3369.004781
-35660.770308,200,3380.104067
-36111.262602,200,3391.144877
-37112.1378,200,3402.132253
-29973.492217,200,3413.098947
-21067.298587,200,3424.067611
-20395.09702,200,3435.148826
-19025.278719,200,3446.250251
-17501.87499,200,3457.352818
-17098.845955,200,3468.396662
-16201.208978,200,3479.415555
-15902.650213,200,3490.401685
-14972.888088,200,3501.396048
-15847.977421,200,3512.501604
-15414.145212,200,3523.57753
-14361.461231,200,3534.546486
-13132.041287,200,3545.526568
-12449.485865,200,3556.492291
-12434.725544,200,3567.555908
-12705.987506,200,3578.641828
-11955.034655,200,3589.612422
-12318.744468,200,3600.60657
-13515.347713,200,3611.590211
-14377.515389,200,3622.611975
-16051.840419,200,3633.575551
-18298.57518,200,3644.567331
-12995.283315,200,3655.609137
-13038.37697,200,3666.683407
-10573.560799,200,3677.669599
-10321.243804,200,3688.635725
-8175.506146,200,3699.608282
-7224.137025,200,3710.587269
-8101.870217,200,3721.559297
-5543.075816,200,3732.533304
-3694.106597,200,3743.514405
-3416.967238,200,3754.584528
-3029.611988,200,3765.675042
-2836.592752,200,3776.6556
-3489.27644,200,3787.779423
-3556.078987,200,3798.783069
-3526.782296,200,3809.782666
-3260.540482,200,3820.82723
-6026.416325,200,3831.9477
-6609.421196,200,3843.028147
-8668.120462,200,3854.020812
-25998.662476,200,3865.037306
-30836.623978,200,3876.118564
-15852.60127,200,3887.17419
-11601.313899,200,3898.163039
-10547.448729,200,3909.171751
-7585.004666,200,3920.165277
-6805.125164,200,3931.171083
-5652.498606,200,3942.182899
-6440.427798,200,3953.300451
-6013.827448,200,3964.347749
-5836.131314,200,3975.413723
-5361.174437,200,3986.511413
-5055.379251,200,3997.533775
-5165.842651,200,4008.566447
-5544.91776,200,4019.588302
-5456.955411,200,4030.615513
-4512.847459,200,4041.643748
-3593.200519,200,4052.6994
-4317.551555,200,4063.747672
-4116.830949,200,4074.781914
-3873.473183,200,4085.807974
-3123.319807,200,4096.845605
-2402.326098,200,4107.926254
-1717.567024,200,4118.949737
-1572.609304,200,4129.98829
-1088.30626,200,4141.034384
-1145.39843,200,4152.122911
-889.190111,200,4163.257414
-851.46276,200,4174.293397
-1702.151283,200,4185.395483
-1030.258837,200,4196.476792
-1322.672428,200,4207.522655
-1006.574997,200,4218.540117
-818.717872,200,4229.57612
-1669.691397,200,4240.60383
-1675.911791,200,4251.645118
-2378.028678,200,4262.718815
-2657.260518,200,4273.807927
-3418.626414,200,4284.874086
-2368.049568,200,4295.918396
-2337.989956,200,4306.950352
-2653.19142,200,4317.999014
-1494.13745,200,4329.044411
-983.231063,200,4340.091578
-686.206737,200,4351.124152
-745.381777,200,4362.161059
-1263.096301,200,4373.286247
-1875.041464,200,4384.341072
-2547.644084,200,4395.376856
-2962.272387,200,4406.535429
-2006.138013,200,4417.701358
-2746.679422,200,4428.844833
-3361.26145,200,4439.954925
-4665.657871,200,4451.12612
-21056.789757,200,4462.166237
-8519.759482,200,4473.203026
-22852.299255,200,4484.289061
-7752.998474,200,4495.299353
-5255.036138,200,4506.293374
-9122.014916,200,4517.285674
-6966.538369,200,4528.366036
-8705.051737,200,4539.378924
-14660.650312,200,4550.407998
-7157.173574,200,4561.440791
-24173.051162,200,4572.457528
-21947.974129,200,4583.528854
-11312.602213,200,4594.523779
-9886.811377,200,4605.562845
-7390.702835,200,4616.565334
-9180.831404,200,4627.568306
-10319.25291,200,4638.584318
-8028.393653,200,4649.594559
-7178.738587,200,4660.61656
-6489.830511,200,4671.60891
-6218.754607,200,4682.605307
-6836.078927,200,4693.657581
-6175.667162,200,4704.79159
-8219.018966,200,4715.930513
-4992.614399,200,4727.015529
-4662.839138,200,4738.01659
-6731.555543,200,4749.024236
-8749.225636,200,4760.037479
-6417.662628,200,4771.037325
-8527.684154,200,4782.038533
-5175.263842,200,4793.048135
-4072.327913,200,4804.065377
-5575.218997,200,4815.100178
-5943.693845,200,4826.103855
-4607.763456,200,4837.205708
-3367.768295,200,4848.222385
-3051.756876,200,4859.217603
-2710.640551,200,4870.221179
-2144.950993,200,4881.222992
-2249.686332,200,4892.228492
-1760.438618,200,4903.232403
-1473.764909,200,4914.304489
-1452.34779,200,4925.316719
-1590.804506,200,4936.351349
-1553.452171,200,4947.393679
-1774.578138,200,4958.566772
-1780.862466,200,4969.629888
-2247.09639,200,4980.636962
-2509.098387,200,4991.636052
-2650.246625,200,5002.625704
-2693.958382,200,5013.624967
-3499.073214,200,5024.625018
-3924.623556,200,5035.633328
-7304.016234,200,5046.754983
-4015.094205,200,5057.895164
-4089.724424,200,5068.928714
-4935.865888,200,5079.936759
-3286.107576,200,5090.94908
-3478.713534,200,5101.951787
-3362.601841,200,5113.012805
-3229.794962,200,5124.095763
-3082.739094,200,5135.09771
-3071.103376,200,5146.128126
-3276.315891,200,5157.124166
-3045.816292,200,5168.128581
-3411.529702,200,5179.142583
-2934.845697,200,5190.302481
-2874.883591,200,5201.462616
-2832.510918,200,5212.541703
-2220.71752,200,5223.656363
-1952.077554,200,5234.701021
-1664.78497,200,5245.74822
-1525.959776,200,5256.864283
-1593.749739,200,5267.948768
-1619.568284,200,5279.013998
-1295.675461,200,5290.129946
-905.960061,200,5301.291639
-989.08101,200,5312.433066
-840.388502,200,5323.572406
-910.92883,200,5334.638706
-1134.037769,200,5345.71645
-2644.251424,200,5356.791705
-2030.76975,200,5367.916536
-1605.673549,200,5379.140414
-1711.184944,200,5390.269864
-3722.886564,200,5401.36012
-7503.142032,200,5412.469535
-6709.767919,200,5423.571289
-6363.477344,200,5434.665718
-6660.087315,200,5445.836922
-47577.750292,200,5456.967993
-30002.978488,200,5467.998721
-88433.072463,200,5478.994343
-43067.188684,200,5489.98984
-32149.729604,200,5501.053937
-27979.998345,200,5512.026475
